"","address","TAX.CLASS","TOTAL","CITY","Zip.Code","STATE","Violation_Count"
"41","912 LAREDO RD","R038",5637.87,"SILVER SPRING","20901","MD",1
"42","7421 CEDAR AVE","R074",12165.95,"TAKOMA PARK","20912","MD",3
"43","7809 LOCKNEY AVE","R074",9066.02,"TAKOMA PARK","20912","MD",35
"44","7519 CARROLL AVE","R074",14281.57,"TAKOMA PARK","20912","MD",9
"45","9907 POMONA DR","R038",9590.72,"BETHESDA","20817","MD",1
"46","5480 WISCONSIN AVE","R014",1017339.12,"CHEVY CHASE","20815","MD",685
"47","22800 SWEET SHRUB DR","R042",267123.27,"CLARKSBURG","20871","MD",5
"48","9028 GREEN RUN WAY","R042",5418.19,"GAITHERSBURG","20879","MD",5
"49","5901 MONTROSE RD","R025",1306697.61,"NORTH BETHESDA","20852","MD",1010
"50","8811 COLESVILLE RD","R086",359951.72,"SILVER SPRING","20910","MD",1450
"51","11019 CONE LN","R038",5309.8,"SILVER SPRING","20902","MD",1
"52","10928 HORDE ST","R038",5195.08,"SILVER SPRING","20902","MD",2
"53","2001 PRICHARD RD","R038",8231.08,"SILVER SPRING","20902","MD",8
"54","26170 MULLINIX MILL RD","R042",4267.41,"MT AIRY","21771","MD",19
"55","10185 SHELLDRAKE CIR","R042",3146.47,"DAMASCUS","20872","MD",1
"56","10308 CONNECTICUT AVE","R027",7451.23,"KENSINGTON","20895","MD",3
"57","909 PROSPECT ST","R038",6567.27,"TAKOMA PARK","20912","MD",6
"58","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11
"59","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11
"60","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11
"61","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11
"62","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11
"63","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11
"64","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11
"65","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11
"66","18714 SEVERN RD","R042",7507.67,"GAITHERSBURG","20879","MD",2
"67","13605 SHERWOOD FOREST DR","R042",6237.43,"SILVER SPRING","20904","MD",3
"68","7001 ARLINGTON RD","R079",768552.98,"BETHESDA","20814","MD",91
"69","4550 N PARK AVE","R014",4489.11,"CHEVY CHASE","20815","MD",2
"70","4550 N PARK AVE","R014",4131.75,"CHEVY CHASE","20815","MD",2
"71","13528 TIVOLI LAKE BLVD","R038",2618.26,"SILVER SPRING","20906","MD",4
"72","4506 FURMAN RD","R038",4783.31,"SILVER SPRING","20906","MD",14
"73","8416 TEA ROSE DR","R042",5281.69,"GAITHERSBURG","20879","MD",73
"74","3608 CASTLE TER","R042",3650.31,"SILVER SPRING","20904","MD",15
"75","13017 TAMARACK RD","R042",5856.11,"SILVER SPRING","20904","MD",1
"76","3421 FORSYTHIA LN","R042",5779.41,"BURTONSVILLE","20866","MD",4
"77","8508 GOSHEN VIEW DR","R042",9106.77,"GAITHERSBURG","20882","MD",18
"78","11308 RAMBLING RD","R042",5455.91,"GAITHERSBURG","20879","MD",2
"79","13020 CHESTNUT OAK DR","R053",12072.4,"DARNESTOWN","20878","MD",1
"80","2535 GLENALLAN AVE","R038",115146.59,"SILVER SPRING","20906","MD",14
"81","11 KERWOOD CT","R042",6067.57,"SILVER SPRING","20904","MD",18
"82","735 SLIGO AVE","R038",73830.88,"SILVER SPRING","20910","MD",255
"83","9201 SUDBURY RD","R038",8424.23,"SILVER SPRING","20901","MD",1
"84","4701 WILLARD AVE","R014",2366695.77,"CHEVY CHASE","20815","MD",965
"85","8110 BRINK RD","R042",5750.98,"GAITHERSBURG","20882","MD",4
"86","18549 SPLIT ROCK LN","R042",3823,"GERMANTOWN","20874","MD",7
"87","3720 OLD BALTIMORE DR","R042",8841.09,"OLNEY","20832","MD",4
"88","1520 FLORA CT","R038",7033.94,"SILVER SPRING","20910","MD",6
"89","20000 FREDERICK RD","R042",462830.25,"GERMANTOWN","20876","MD",6
"90","11603 MILBERN DR","R053",8571.04,"POTOMAC","20854","MD",3
"91","14713 WATERWAY DR","R042",7125.53,"ROCKVILLE","20853","MD",1
"92","11320 RAMBLING RD","R042",5478.93,"GAITHERSBURG","20879","MD",4
"93","3923 PLYERS MILL RD","R027",23113.78,"KENSINGTON","20895","MD",12
"94","615 MISSISSIPPI AVE","R038",6095.68,"SILVER SPRING","20910","MD",10
"95","817 PHILADELPHIA AVE","R038",6962.04,"SILVER SPRING","20910","MD",17
"96","2301 GLENALLAN AVE","R038",427810.74,"SILVER SPRING","20906","MD",3578
"97","8101 GARLAND AVE","R038",9727.85,"TAKOMA PARK","20912","MD",39
"98","4909 HAMPDEN LN","R038",14557.56,"BETHESDA","20814","MD",37
"99","4911 HAMPDEN LN","R038",14342.55,"BETHESDA","20814","MD",37
"100","10017 CHAPEL RD","R042",17540.74,"POTOMAC","20854","MD",4
"101","622 SILVER SPRING AVE","R038",9108.17,"SILVER SPRING","20910","MD",59
"102","8215 SCHRIDER ST","R038",8129.5,"SILVER SPRING","20910","MD",183
"103","8484 16TH ST","R038",2475326.17,"SILVER SPRING","20910","MD",9005
"104","19811 MADRIGAL DR","R042",8122.09,"GERMANTOWN","20876","MD",6
"105","5454 NICHOLSON LN","R065",16647.31,"NORTH BETHESDA","20895","MD",89
"106","828 BONIFANT ST","R038",11602.2,"SILVER SPRING","20910","MD",11
"107","8101 SCHRIDER ST","R038",12383.47,"SILVER SPRING","20910","MD",259
"108","106 BRIGHTON DAM RD","R042",3559.82,"BROOKEVILLE","20833","MD",4
"109","13024 CHESTNUT OAK DR","R053",6490.74,"GAITHERSBURG","20878","MD",1
"110","3400 KING WILLIAM DR","R042",6998.11,"OLNEY","20832","MD",6
"111","14200 GRAND PRE RD","R042",209750.28,"SILVER SPRING","20906","MD",481
"112","10815 INWOOD AVE","R038",4913.03,"SILVER SPRING","20902","MD",191
"113","14110 GRAND PRE RD","R042",426537.86,"SILVER SPRING","20906","MD",6
"114","1305 OAKVIEW DR","R038",6000.52,"SILVER SPRING","20903","MD",1
"115","1200 EAST WEST HWY","R086",36562.39,"SILVER SPRING","20910","MD",278
"116","1203 DUNOON CT","R038",5478.63,"SILVER SPRING","20903","MD",8
"117","108 BRIGHTON DAM RD","R042",8810.84,"BROOKEVILLE","20833","MD",2
"118","8562 BRICKYARD RD","R042",5660.45,"ROCKVILLE","20854","MD",16
"119","602 GIST AVE","R038",6159.85,"SILVER SPRING","20910","MD",1
"120","9809 ARBOR HILL DR","R038",5663.6,"SILVER SPRING","20903","MD",23
"121","9306 PINEY BRANCH RD","R038",232785.6,"SILVER SPRING","20903","MD",3
"122","15201 MC KNEW RD","R042",1057.32,"BURTONSVILLE","20866","MD",2
"123","4821 EADES ST","R038",5685.47,"ROCKVILLE","20853","MD",1
"124","2500 HOLMAN AVE","R038",5912.97,"SILVER SPRING","20910","MD",16
"125","19136 HERITAGE HILLS DR","R042",6381.08,"BROOKEVILLE","20833","MD",4
"126","7625 CREEKSTONE CT","R042",5186.14,"GAITHERSBURG","20877","MD",3
"127","19813 BRAMBLE BUSH DR","R042",5610.17,"GAITHERSBURG","20879","MD",4
"128","7021 WARFIELD RD","R042",6798.99,"GAITHERSBURG","20882","MD",3
"129","13513 KEATING ST","R038",5162.06,"ROCKVILLE","20853","MD",2
"130","3702 EVERTON ST","R038",4734.2,"SILVER SPRING","20906","MD",1
"131","918 HERON CT","R038",4632.01,"SILVER SPRING","20901","MD",4
"132","20438 SUNBRIGHT LN","R042",3883.25,"GERMANTOWN","20874","MD",1
"133","2936 GRACEFIELD RD","R042",5742.51,"SILVER SPRING","20904","MD",3
"134","2913 RED LION LN","R042",5267.13,"SILVER SPRING","20904","MD",37
"135","2921 GRACEFIELD RD","R042",4805.86,"SILVER SPRING","20904","MD",1
"136","506 WATERFORD RD","R038",5951.79,"SILVER SPRING","20901","MD",7
"137","11811 NEW HAMPSHIRE AVE","R042",5130.81,"SILVER SPRING","20904","MD",1
"138","8504 MEADOWLARK LN","R038",34477.88,"BETHESDA","20817","MD",2
"139","4700 BREADY RD","R042",6087.88,"ROCKVILLE","20853","MD",6
"140","10109 DAPHNEY HOUSE WAY","R053",13330.5,"ROCKVILLE","20850","MD",1
"141","9727 MT PISGAH RD","R038",379780.5,"SILVER SPRING","20903","MD",348
"142","8102 HAMMOND AVE","R074",7586.07,"TAKOMA PARK","20912","MD",2
"143","8817 N WESTLAND DR","R042",6223.36,"GAITHERSBURG","20877","MD",26
"144","13304 CHESTNUT OAK DR","R053",7714.92,"GAITHERSBURG","20878","MD",3
"145","13063 SHADYSIDE LN","R042",2774.43,"GERMANTOWN","20874","MD",4
"146","18058 O HARA CIR","R042",3711.73,"OLNEY","20832","MD",14
"147","13812 ARCTIC AVE","R038",6586.09,"ROCKVILLE","20853","MD",84
"148","12447 LOFT LN","R042",4439.62,"SILVER SPRING","20904","MD",5
"149","10217 GREENACRES DR","R038",5563.45,"SILVER SPRING","20903","MD",8
"150","14610 KEENELAND CIR","R053",3906.27,"GAITHERSBURG","20878","MD",1
"151","10720 GEORGIA AVE","R038",1252.23,"SILVER SPRING","20902","MD",25
"152","20745 NEW HAMPSHIRE AVE","R042",5681.22,"BROOKEVILLE","20833","MD",10
"153","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48
"154","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48
"155","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48
"156","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48
"157","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48
"158","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48
"159","12525 EASTBOURNE DR","R042",6324.66,"SILVER SPRING","20904","MD",6
"160","909 HERON DR","R038",4852.06,"SILVER SPRING","20901","MD",2
"161","11442 SCHUYLKILL RD","R038",5401.5,"ROCKVILLE","20852","MD",1
"162","4824 CREEK SHORE DR","R038",5644.87,"ROCKVILLE","20852","MD",9
"163","4215 GARRETT PARK RD","R038",4477.1,"SILVER SPRING","20906","MD",2
"164","10401 GARDINER AVE","R038",5363.51,"SILVER SPRING","20902","MD",6
"165","14106 PUNCH ST","R038",315.53,"SILVER SPRING","20906","MD",4
"166","7710 MAPLE AVE","R074",180553.23,"TAKOMA PARK","20912","MD",7293
"167","12816 MIDDLEVALE LN","R038",5643.26,"SILVER SPRING","20906","MD",5
"168","2206 ROSS RD","R038",10176.7,"SILVER SPRING","20910","MD",1
"169","21528 LAYTONSVILLE RD","R058",5030.09,"GAITHERSBURG","20882","MD",2
"170","5230 TUCKERMAN LN","R038",1080597.02,"ROCKVILLE","20852","MD",235
"171","1401 BLAIR MILL RD","R086",540896.97,"SILVER SPRING","20910","MD",328
"172","8806 GLENVILLE RD","R038",13638.51,"SILVER SPRING","20901","MD",101
"173","10914 GEORGIA AVE","R038",560659.27,"SILVER SPRING","20902","MD",746
"174","2401 EVANS DR","R038",5425.7,"SILVER SPRING","20902","MD",14
"175","8302 GARLAND AVE","R038",6992.22,"TAKOMA PARK","20912","MD",106
"176","7814 GARLAND AVE","R038",10382.75,"TAKOMA PARK","20912","MD",22
"177","4906 ASBURY LN","R038",7794.09,"BETHESDA","20814","MD",7
"178","11647 RANCH LN","R053",7422.54,"NORTH POTOMAC","20878","MD",3
"179","8 SIMMS CT","R038",5663.65,"KENSINGTON","20895","MD",3
"180","3901 HAMPDEN ST","R038",4667.03,"KENSINGTON","20895","MD",6
"181","8021 GEORGIA AVE","R086",498347.37,"SILVER SPRING","20910","MD",200
"182","11215 OAK LEAF DR","R042",1614055.18,"SILVER SPRING","20901","MD",8598
"183","1703 FOREST GLEN RD","R038",6583.02,"SILVER SPRING","20902","MD",6
"184","9124 FLOWER AVE","R038",7245.41,"SILVER SPRING","20901","MD",4
"185","510 WARRENTON DR","R042",8413.24,"SILVER SPRING","20904","MD",7
"186","9119 MANCHESTER RD","R038",85234.74,"SILVER SPRING","20901","MD",664
"187","12211 VEIRS MILL RD","R038",160376.52,"SILVER SPRING","20906","MD",13
"188","4918 ST ELMO AVE","R076",17670.89,"BETHESDA","20814","MD",520
"189","4918 ST ELMO AVE","R076",739953.59,"BETHESDA","20814","MD",520
"190","14733 BLACKBURN RD","R042",6057.98,"BURTONSVILLE","20866","MD",1
"191","4740 BRADLEY BLVD","R038",5502.27,"CHEVY CHASE","20815","MD",106
"192","9704 BEALL AVE","R042",3602.86,"DAMASCUS","20872","MD",2
"193","7516 FILBERT TER","R042",4240.67,"GAITHERSBURG","20879","MD",3
"194","515 SILVER SPRING AVE","R038",10759.86,"SILVER SPRING","20910","MD",21
"195","8710 PLYMOUTH ST","R038",10687.78,"SILVER SPRING","20901","MD",75
"196","8520 GREENWOOD AVE","R038",7351.97,"TAKOMA PARK","20912","MD",16
"197","4903 EDGEMOOR LN","R038",399698.6,"BETHESDA","20814","MD",111
"198","8015 OLD GEORGETOWN RD","R038",166357.15,"BETHESDA","20814","MD",79
"199","3929 LANDMARK CT","R038",474426.92,"CHEVY CHASE","20815","MD",28
"200","6903 STRATHMORE ST","R076",47691.53,"CHEVY CHASE","20815","MD",191
"201","11809 SILENT VALLEY LN","R053",7716.11,"NORTH POTOMAC","20878","MD",12
"202","943 BONIFANT ST","R086",8758.55,"SILVER SPRING","20910","MD",40
"203","1913 GRACE CHURCH RD","R038",6629.83,"SILVER SPRING","20910","MD",3
"204","14400 FAIRDALE RD","R042",7069.11,"SILVER SPRING","20905","MD",24
"205","8710 CAMERON ST","R086",1126094.31,"SILVER SPRING","20910","MD",368
"206","4601 HUNT AVE","R038",11390.71,"CHEVY CHASE","20815","MD",4
"207","21900 FULMER AVE","R042",9302.45,"CLARKSBURG","20871","MD",1
"208","20404 LINDOS CT","R042",4487.63,"GAITHERSBURG","20886","MD",2
"209","10410 HEMLEY LN","R038",6564.28,"SILVER SPRING","20902","MD",1
"210","8902 LINTON ST","R038",4812.77,"SILVER SPRING","20901","MD",1
"211","2228 WASHINGTON AVE","R038",3462.06,"SILVER SPRING","20910","MD",5
"212","2228 WASHINGTON AVE","R038",3346.94,"SILVER SPRING","20910","MD",5
"213","17616 BUEHLER RD","R042",5645.1,"OLNEY","20832","MD",2
"214","9833 WILDEN LN","R053",10889.84,"POTOMAC","20854","MD",10
"215","8712 VICTORY LN","R053",8738.71,"POTOMAC","20854","MD",1
"216","13434 KEATING ST","R038",5366.21,"ROCKVILLE","20853","MD",4
"217","3502 FLORAL ST","R038",4026.54,"SILVER SPRING","20902","MD",1
"218","605 CANNON RD","R042",5886.46,"SILVER SPRING","20904","MD",2
"219","23725 WOODFIELD RD","R042",4635.65,"GAITHERSBURG","20882","MD",20
"220","3828 WILBERTA ST","R042",6856.52,"OLNEY","20832","MD",9
"221","12001 GALENA RD","R038",6527.77,"ROCKVILLE","20852","MD",5
"222","2508 SPENCER RD","R038",9549.94,"SILVER SPRING","20910","MD",1
"223","10729 CASPER ST","R038",9727.73,"KENSINGTON","20895","MD",3
"224","9115 ETON RD","R038",5909.85,"SILVER SPRING","20901","MD",5
"225","5921 RYLAND DR","R038",13480.66,"BETHESDA","20817","MD",1
"226","24514 WELSH RD","R042",5866.11,"GAITHERSBURG","20882","MD",7
"227","2425 BLUERIDGE AVE","R082",884632.01,"SILVER SPRING","20902","MD",92
"228","322 WOONSOCKETT LN","R042",4111.29,"SILVER SPRING","20905","MD",6
"229","13216 CHESTNUT OAK DR","R053",13383.62,"GAITHERSBURG","20878","MD",26
"230","15105 QUINCE ORCHARD RD","R053",4563.61,"GAITHERSBURG","20878","MD",1
"231","18810 NATHANS PL","R042",3023.3,"MONTGOMERY VILLA","20886","MD",124
"232","4977 BATTERY LN","R038",2524.3,"BETHESDA","20814","MD",168
"233","4977 BATTERY LN","R038",3387.7,"BETHESDA","20814","MD",168
"234","4977 BATTERY LN","R038",3848.18,"BETHESDA","20814","MD",168
"235","4977 BATTERY LN","R038",3215.02,"BETHESDA","20814","MD",168
"236","4977 BATTERY LN","R038",3192,"BETHESDA","20814","MD",168
"237","4977 BATTERY LN","R038",198.17,"BETHESDA","20814","MD",168
"238","4977 BATTERY LN","R038",3617.94,"BETHESDA","20814","MD",168
"239","4977 BATTERY LN","R038",3176.65,"BETHESDA","20814","MD",168
"240","4977 BATTERY LN","R038",2466.74,"BETHESDA","20814","MD",168
"241","19824 BRAMBLE BUSH DR","R042",5082.42,"GAITHERSBURG","20879","MD",14
"242","3013 JENNINGS RD","R038",4862.25,"KENSINGTON","20895","MD",5
"243","18763 PIER POINT PL","R042",3964.99,"GAITHERSBURG","20886","MD",13
"244","18405 AZALEA DR","R042",9357.34,"DERWOOD","20855","MD",5
"245","12 PARKSIDE RD","R038",13836.35,"SILVER SPRING","20910","MD",6
"246","8500 SUNDALE DR","R038",9427.26,"SILVER SPRING","20910","MD",3
"247","108 SCHUYLER RD","R038",26424.29,"SILVER SPRING","20901","MD",635
"248","4414 CANNES LN","R042",4404.36,"OLNEY","20832","MD",2
"249","7800 KENNEWICK AVE","R074",8979.76,"TAKOMA PARK","20912","MD",259
"250","6434 KANSAS LN","R074",20567.49,"TAKOMA PARK","20912","MD",112
"251","8402 FLOWER AVE","R074",7490.13,"TAKOMA PARK","20912","MD",6
"252","7333 NEW HAMPSHIRE AVE","R074",3255.58,"TAKOMA PARK","20912","MD",4944
"253","7333 NEW HAMPSHIRE AVE","R074",3221.52,"TAKOMA PARK","20912","MD",4944
"254","7333 NEW HAMPSHIRE AVE","R074",4447.96,"TAKOMA PARK","20912","MD",4944
"255","7333 NEW HAMPSHIRE AVE","R074",3766.6,"TAKOMA PARK","20912","MD",4944
"256","7333 NEW HAMPSHIRE AVE","R074",4550.16,"TAKOMA PARK","20912","MD",4944
"257","7333 NEW HAMPSHIRE AVE","R074",3698.46,"TAKOMA PARK","20912","MD",4944
"258","7333 NEW HAMPSHIRE AVE","R074",2574.22,"TAKOMA PARK","20912","MD",4944
"259","7333 NEW HAMPSHIRE AVE","R074",4430.93,"TAKOMA PARK","20912","MD",4944
"260","7333 NEW HAMPSHIRE AVE","R074",4362.79,"TAKOMA PARK","20912","MD",4944
"261","7333 NEW HAMPSHIRE AVE","R074",2540.16,"TAKOMA PARK","20912","MD",4944
"262","7333 NEW HAMPSHIRE AVE","R074",4464.99,"TAKOMA PARK","20912","MD",4944
"263","7333 NEW HAMPSHIRE AVE","R074",4618.3,"TAKOMA PARK","20912","MD",4944
"264","7333 NEW HAMPSHIRE AVE","R074",3187.44,"TAKOMA PARK","20912","MD",4944
"265","7333 NEW HAMPSHIRE AVE","R074",4584.24,"TAKOMA PARK","20912","MD",4944
"266","7333 NEW HAMPSHIRE AVE","R074",3477.03,"TAKOMA PARK","20912","MD",4944
"267","7333 NEW HAMPSHIRE AVE","R074",3425.92,"TAKOMA PARK","20912","MD",4944
"268","7333 NEW HAMPSHIRE AVE","R074",2386.85,"TAKOMA PARK","20912","MD",4944
"269","7333 NEW HAMPSHIRE AVE","R074",3511.09,"TAKOMA PARK","20912","MD",4944
"270","7333 NEW HAMPSHIRE AVE","R074",3442.95,"TAKOMA PARK","20912","MD",4944
"271","315 CIRCLE AVE","R074",8716.63,"TAKOMA PARK","20912","MD",18
"272","7906 KENNEWICK AVE","R074",9066.02,"TAKOMA PARK","20912","MD",97
"273","706 KENNEBEC AVE","R074",9294.02,"TAKOMA PARK","20912","MD",48
"274","7721 GREENWOOD AVE","R074",9083.39,"TAKOMA PARK","20912","MD",20
"275","7206 FLOWER AVE","R074",8101.68,"TAKOMA PARK","20912","MD",39
"276","20237 SWEET MEADOW LN","R042",7778.21,"LAYTONSVILLE","20882","MD",7
"277","5108 WILSON LN","R038",16488.73,"BETHESDA","20814","MD",2
"278","8924 N WESTLAND DR","R042",515.67,"GAITHERSBURG","20877","MD",12
"279","16631 SHEA LN","R042",6274.41,"GAITHERSBURG","20877","MD",4
"280","17707 MEADOW VISTA WAY","R042",4191.76,"GAITHERSBURG","20877","MD",1
"281","18746 HARMONY WOODS LN","R042",5280.44,"GERMANTOWN","20874","MD",1
"282","18820 HARMONY WOODS LN","R042",4234.16,"GERMANTOWN","20874","MD",1
"283","20311 FOXWOOD TER","R042",7744.88,"GERMANTOWN","20876","MD",2
"284","19748 WOOTTON AVE","R057",2890.43,"POOLESVILLE","20837","MD",2
"285","13424 CLEVELAND DR","R053",9026.83,"ROCKVILLE","20850","MD",2
"286","11112 NICHOLAS DR","R038",5361.2,"SILVER SPRING","20902","MD",1
"287","8317 ROANOKE AVE","R074",8956.75,"TAKOMA PARK","20912","MD",39
"288","9331 E PARKHILL DR","R038",8418.68,"BETHESDA","20814","MD",4
"289","5818 WYNGATE DR","R038",11187.44,"BETHESDA","20817","MD",1
"290","8234 CAMBOURNE CT","R042",5777.87,"GAITHERSBURG","20877","MD",3
"291","13620 WENDOVER RD","R042",6466.26,"SILVER SPRING","20904","MD",2
"292","3507 OLYMPIC ST","R038",5163.21,"SILVER SPRING","20906","MD",1
"293","8320 ROANOKE AVE","R074",10661.67,"TAKOMA PARK","20912","MD",106
"294","8121 LOCKNEY AVE","R074",8728.55,"TAKOMA PARK","20912","MD",13
"295","18409 GUILDBERRY DR","R042",2140.39,"GAITHERSBURG","20879","MD",110
"296","18409 GUILDBERRY DR","R042",1699.1,"GAITHERSBURG","20879","MD",110
"297","18409 GUILDBERRY DR","R042",1660.72,"GAITHERSBURG","20879","MD",110
"298","15309 VALENCIA ST","R042",5861.9,"SILVER SPRING","20905","MD",7
"299","1620 WHITE OAK VISTA DR","R042",5358.14,"SILVER SPRING","20904","MD",2
"300","8202 HOUSTON CT","R074",11092.08,"TAKOMA PARK","20912","MD",214
"301","7805 LOCKNEY AVE","R074",10291.87,"TAKOMA PARK","20912","MD",57
"302","24601 ETCHISON DR","R042",4869.15,"GAITHERSBURG","20882","MD",4
"303","19405 LAGUNA DR","R042",4666.18,"GAITHERSBURG","20879","MD",4
"304","19605 GALWAY BAY CIR","R042",23.02,"GERMANTOWN","20874","MD",15
"305","19605 GALWAY BAY CIR","R042",45.18,"GERMANTOWN","20874","MD",15
"306","18905 SNOW FIELDS CIR","R042",3674.51,"GERMANTOWN","20874","MD",5
"307","8000 POSTOAK RD","R053",9460.79,"ROCKVILLE","20854","MD",14
"308","7620 DEW WOOD DR","R042",6861.12,"DERWOOD","20855","MD",4
"309","14216 CATAMOUNT CT","R038",5218.25,"SILVER SPRING","20906","MD",22
"310","708 HOUSTON AVE","R074",8107.29,"TAKOMA PARK","20912","MD",21
"311","104 TULIP AVE","R074",23032.04,"TAKOMA PARK","20912","MD",2
"312","40 COTTONWOOD CT","R042",3908.97,"GAITHERSBURG","20877","MD",10
"313","12508 DALEWOOD DR","R038",4844.69,"SILVER SPRING","20906","MD",9
"314","3223 LELAND ST","R038",15263.45,"CHEVY CHASE","20815","MD",1
"315","4601 N PARK AVE","R014",7237.97,"CHEVY CHASE","20815","MD",1674
"316","4601 N PARK AVE","R014",5153.37,"CHEVY CHASE","20815","MD",1674
"317","4601 N PARK AVE","R014",7297.53,"CHEVY CHASE","20815","MD",1674
"318","4601 N PARK AVE","R014",5232.79,"CHEVY CHASE","20815","MD",1674
"319","4601 N PARK AVE","R014",3922.47,"CHEVY CHASE","20815","MD",1674
"320","4601 N PARK AVE","R014",7523.86,"CHEVY CHASE","20815","MD",1674
"321","4601 N PARK AVE","R014",7535.77,"CHEVY CHASE","20815","MD",1674
"322","4601 N PARK AVE","R014",7138.71,"CHEVY CHASE","20815","MD",1674
"323","4601 N PARK AVE","R014",5808.53,"CHEVY CHASE","20815","MD",1674
"324","4601 N PARK AVE","R014",3307.01,"CHEVY CHASE","20815","MD",1674
"325","4601 N PARK AVE","R014",3644.51,"CHEVY CHASE","20815","MD",1674
"326","4601 N PARK AVE","R014",4835.71,"CHEVY CHASE","20815","MD",1674
"327","4601 N PARK AVE","R014",31.21,"CHEVY CHASE","20815","MD",1674
"328","4601 N PARK AVE","R014",3287.15,"CHEVY CHASE","20815","MD",1674
"329","4601 N PARK AVE","R014",3962.17,"CHEVY CHASE","20815","MD",1674
