"","address","TAX.CLASS","TOTAL","CITY","Zip.Code","STATE","Violation_Count","Longitude","Latitude"
"128","4550 N PARK AVE","R014",4489.11,"CHEVY CHASE","20815","MD",2,-77.09016544,38.96341395
"129","4550 N PARK AVE","R014",4131.75,"CHEVY CHASE","20815","MD",2,-77.09016544,38.96341395
"130","4550 N PARK AVE","R014",4131.75,"CHEVY CHASE","20815","MD",2,-77.09016544,38.96341395
"131","13528 TIVOLI LAKE BLVD","R038",2618.26,"SILVER SPRING","20906","MD",4,-77.0304862,39.07733212
"132","4506 FURMAN RD","R038",4783.31,"SILVER SPRING","20906","MD",14,-77.09071772,39.06021401
"133","8416 TEA ROSE DR","R042",5281.69,"GAITHERSBURG","20879","MD",73,-77.17541311,39.15757005
"134","3608 CASTLE TER","R042",3650.31,"SILVER SPRING","20904","MD",15,-76.93949566,39.09015818
"135","13017 TAMARACK RD","R042",5856.11,"SILVER SPRING","20904","MD",1,-76.98239636,39.06946056
"136","3421 FORSYTHIA LN","R042",5779.41,"BURTONSVILLE","20866","MD",4,-76.94114191,39.09873832
"137","8508 GOSHEN VIEW DR","R042",9106.77,"GAITHERSBURG","20882","MD",18,-77.17513866,39.20923536
"138","11308 RAMBLING RD","R042",5455.91,"GAITHERSBURG","20879","MD",2,-77.23432776,39.16657463
"139","13020 CHESTNUT OAK DR","R053",12072.4,"DARNESTOWN","20878","MD",1,-77.27022565,39.11136633
"140","2535 GLENALLAN AVE","R038",115146.59,"SILVER SPRING","20906","MD",14,-77.05241446,39.0640571
"141","11 KERWOOD CT","R042",6067.57,"SILVER SPRING","20904","MD",18,-76.9930323,39.05403557
"142","735 SLIGO AVE","R038",73830.88,"SILVER SPRING","20910","MD",255,-77.0192122,38.99017125
"143","9201 SUDBURY RD","R038",8424.23,"SILVER SPRING","20901","MD",1,-77.00658788,39.00734072
"144","4701 WILLARD AVE","R014",2366695.77,"CHEVY CHASE","20815","MD",965,NA,NA
"145","8110 BRINK RD","R042",5750.98,"GAITHERSBURG","20882","MD",4,-77.16607935,39.20898133
"146","18549 SPLIT ROCK LN","R042",3823,"GERMANTOWN","20874","MD",7,-77.26831746,39.15923188
"147","3720 OLD BALTIMORE DR","R042",8841.09,"OLNEY","20832","MD",4,-77.07445611,39.13456219
"148","1520 FLORA CT","R038",7033.94,"SILVER SPRING","20910","MD",6,-77.03627812,39.01247911
"149","20000 FREDERICK RD","R042",462830.25,"GERMANTOWN","20876","MD",6,-77.23902242,39.18334671
"150","11603 MILBERN DR","R053",8571.04,"POTOMAC","20854","MD",3,-77.17121714,39.04591436
"151","14713 WATERWAY DR","R042",7125.53,"ROCKVILLE","20853","MD",1,-77.10886149,39.09838122
"152","11320 RAMBLING RD","R042",5478.93,"GAITHERSBURG","20879","MD",4,-77.23401771,39.16678406
"153","3923 PLYERS MILL RD","R027",23113.78,"KENSINGTON","20895","MD",12,-77.07779693,39.02992888
"154","615 MISSISSIPPI AVE","R038",6095.68,"SILVER SPRING","20910","MD",10,-77.01297021,38.98986182
"155","817 PHILADELPHIA AVE","R038",6962.04,"SILVER SPRING","20910","MD",17,-77.02171046,38.98689882
"156","2301 GLENALLAN AVE","R038",427810.74,"SILVER SPRING","20906","MD",3578,-77.04825004,39.06254226
"157","8101 GARLAND AVE","R038",9727.85,"TAKOMA PARK","20912","MD",39,-76.99904018,38.99046882
"158","4909 HAMPDEN LN","R038",14557.56,"BETHESDA","20814","MD",37,-77.09624247,38.98276283
"159","4911 HAMPDEN LN","R038",14342.55,"BETHESDA","20814","MD",37,-77.0962913,38.98276139
"160","10017 CHAPEL RD","R042",17540.74,"POTOMAC","20854","MD",4,-77.21536996,39.02279514
"161","622 SILVER SPRING AVE","R038",9108.17,"SILVER SPRING","20910","MD",59,-77.01455621,38.99193565
"162","8215 SCHRIDER ST","R038",8129.5,"SILVER SPRING","20910","MD",183,-77.01435421,38.99213016
"163","8484 16TH ST","R038",2475326.17,"SILVER SPRING","20910","MD",9005,-77.03652576,38.99561117
"164","19811 MADRIGAL DR","R042",8122.09,"GERMANTOWN","20876","MD",6,-77.22867036,39.1808425
"165","5454 NICHOLSON LN","R065",16647.31,"NORTH BETHESDA","20895","MD",89,NA,NA
"166","828 BONIFANT ST","R038",11602.2,"SILVER SPRING","20910","MD",11,-77.02233785,38.99520977
"167","8101 SCHRIDER ST","R038",12383.47,"SILVER SPRING","20910","MD",259,-77.01421747,38.99124962
"168","106 BRIGHTON DAM RD","R042",3559.82,"BROOKEVILLE","20833","MD",4,-77.01111146,39.19044045
"169","13024 CHESTNUT OAK DR","R053",6490.74,"GAITHERSBURG","20878","MD",1,-77.27036217,39.1113066
"170","3400 KING WILLIAM DR","R042",6998.11,"OLNEY","20832","MD",6,-77.06728443,39.14604282
"171","14200 GRAND PRE RD","R042",209750.28,"SILVER SPRING","20906","MD",481,-77.07535297,39.08872342
"172","10815 INWOOD AVE","R038",4913.03,"SILVER SPRING","20902","MD",191,-77.03585201,39.03283857
"173","14110 GRAND PRE RD","R042",426537.86,"SILVER SPRING","20906","MD",6,-77.07497012,39.08799446
"174","1305 OAKVIEW DR","R038",6000.52,"SILVER SPRING","20903","MD",1,-76.98596987,39.01562878
"175","1200 EAST WEST HWY","R086",36562.39,"SILVER SPRING","20910","MD",278,-77.02904848,38.98994978
"176","1203 DUNOON CT","R038",5478.63,"SILVER SPRING","20903","MD",8,-76.98726122,39.0245134
"177","108 BRIGHTON DAM RD","R042",8810.84,"BROOKEVILLE","20833","MD",2,-77.01168988,39.19049536
"178","8562 BRICKYARD RD","R042",5660.45,"ROCKVILLE","20854","MD",16,-77.21809411,38.99470204
"179","602 GIST AVE","R038",6159.85,"SILVER SPRING","20910","MD",1,-77.01413016,38.98610133
"180","9809 ARBOR HILL DR","R038",5663.6,"SILVER SPRING","20903","MD",23,-76.98695646,39.01616987
"181","9306 PINEY BRANCH RD","R038",232785.6,"SILVER SPRING","20903","MD",3,-76.98519117,39.00126986
"182","15201 MC KNEW RD","R042",1057.32,"BURTONSVILLE","20866","MD",2,-76.91987367,39.10472557
"183","4821 EADES ST","R038",5685.47,"ROCKVILLE","20853","MD",1,-77.09691575,39.0743811
"184","2500 HOLMAN AVE","R038",5912.97,"SILVER SPRING","20910","MD",16,-77.05273991,39.01571528
"185","19136 HERITAGE HILLS DR","R042",6381.08,"BROOKEVILLE","20833","MD",4,-77.06207086,39.16918217
"186","7625 CREEKSTONE CT","R042",5186.14,"GAITHERSBURG","20877","MD",3,-77.15663877,39.15480028
"187","19813 BRAMBLE BUSH DR","R042",5610.17,"GAITHERSBURG","20879","MD",4,-77.1877443,39.18085305
"188","7021 WARFIELD RD","R042",6798.99,"GAITHERSBURG","20882","MD",3,-77.14363822,39.1984628
"189","13513 KEATING ST","R038",5162.06,"ROCKVILLE","20853","MD",2,-77.08571283,39.07752089
"190","3702 EVERTON ST","R038",4734.2,"SILVER SPRING","20906","MD",1,-77.07398777,39.0584646
"191","918 HERON CT","R038",4632.01,"SILVER SPRING","20901","MD",4,-76.99144719,39.00137394
"192","20438 SUNBRIGHT LN","R042",3883.25,"GERMANTOWN","20874","MD",1,-77.28018615,39.18942962
"193","2936 GRACEFIELD RD","R042",5742.51,"SILVER SPRING","20904","MD",3,-76.95309481,39.05927183
"194","2913 RED LION LN","R042",5267.13,"SILVER SPRING","20904","MD",37,-76.95213987,39.05962525
"195","2921 GRACEFIELD RD","R042",4805.86,"SILVER SPRING","20904","MD",1,-76.95446324,39.05999046
"196","506 WATERFORD RD","R038",5951.79,"SILVER SPRING","20901","MD",7,-77.00022516,39.01787232
"197","11811 NEW HAMPSHIRE AVE","R042",5130.81,"SILVER SPRING","20904","MD",1,-76.9930121,39.04948635
"198","8504 MEADOWLARK LN","R038",34477.88,"BETHESDA","20817","MD",2,-77.13808703,38.99501643
"199","4700 BREADY RD","R042",6087.88,"ROCKVILLE","20853","MD",6,-77.09427593,39.1473014
"200","10109 DAPHNEY HOUSE WAY","R053",13330.5,"ROCKVILLE","20850","MD",1,-77.20964998,39.08088015
"201","9727 MT PISGAH RD","R038",379780.5,"SILVER SPRING","20903","MD",348,-76.97667758,39.01558699
"202","8102 HAMMOND AVE","R074",7586.07,"TAKOMA PARK","20912","MD",2,-76.990686,38.99043332
"203","8817 N WESTLAND DR","R042",6223.36,"GAITHERSBURG","20877","MD",26,-77.17957389,39.13154548
"204","13304 CHESTNUT OAK DR","R053",7714.92,"GAITHERSBURG","20878","MD",3,-77.27650328,39.1062757
"205","13063 SHADYSIDE LN","R042",2774.43,"GERMANTOWN","20874","MD",4,-77.27198382,39.19407906
"206","18058 O HARA CIR","R042",3711.73,"OLNEY","20832","MD",14,-77.06036525,39.15223052
"207","13812 ARCTIC AVE","R038",6586.09,"ROCKVILLE","20853","MD",84,-77.0956986,39.08257369
"208","12447 LOFT LN","R042",4439.62,"SILVER SPRING","20904","MD",5,-76.97375703,39.06095645
"209","10217 GREENACRES DR","R038",5563.45,"SILVER SPRING","20903","MD",8,-76.97716697,39.02274497
"210","14610 KEENELAND CIR","R053",3906.27,"GAITHERSBURG","20878","MD",1,-77.25382307,39.09474388
"211","10720 GEORGIA AVE","R038",1252.23,"SILVER SPRING","20902","MD",25,-77.04823552,39.03098186
"212","20745 NEW HAMPSHIRE AVE","R042",5681.22,"BROOKEVILLE","20833","MD",10,-77.02490622,39.19719797
"213","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"214","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"215","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"216","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"217","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"218","12400 PARK POTOMAC AVE","R053",196821.68,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"219","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"220","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"221","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"222","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"223","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"224","12400 PARK POTOMAC AVE","R053",14428.4,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"225","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"226","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"227","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"228","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"229","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"230","12400 PARK POTOMAC AVE","R053",96022.2,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"231","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"232","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"233","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"234","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"235","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"236","12400 PARK POTOMAC AVE","R053",60604.18,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"237","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"238","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"239","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"240","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"241","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"242","12400 PARK POTOMAC AVE","R053",232061.58,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"243","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"244","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"245","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"246","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"247","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"248","12400 PARK POTOMAC AVE","R053",60225.67,"POTOMAC","20854","MD",48,-77.15794119,39.05764633
"249","12525 EASTBOURNE DR","R042",6324.66,"SILVER SPRING","20904","MD",6,-76.9860135,39.0604368
"250","909 HERON DR","R038",4852.06,"SILVER SPRING","20901","MD",2,-76.99168618,39.00157037
"251","11442 SCHUYLKILL RD","R038",5401.5,"ROCKVILLE","20852","MD",1,-77.09705525,39.04296035
"252","4824 CREEK SHORE DR","R038",5644.87,"ROCKVILLE","20852","MD",9,-77.09597402,39.04310812
